lastNameA,firstNameA,classNameA,lastNameB,firstNameB,classNameB
Piccard,Auguste,Solvay 1927,Pauli,Wolfgang,Solvay 1927
Piccard,Auguste,Solvay 1927,Planck,Max,Solvay 1927
Piccard,Auguste,Solvay 1927,Petit,Emmanuel,France 98
Piccard,Auguste,Solvay 1927,Pirès,Robert,France 98
Henriot,Émile,Solvay 1927,Herzen,Édouard,Solvay 1927
Henriot,Émile,Solvay 1927,Heisenberg,Werner,Solvay 1927
Henriot,Émile,Solvay 1927,Henry,Thierry,France 98
Ehrenfest,Paul,Solvay 1927,Einstein,Albert,Solvay 1927
Herzen,Édouard,Solvay 1927,Heisenberg,Werner,Solvay 1927
Herzen,Édouard,Solvay 1927,Henry,Thierry,France 98
de Donder,Théophile,Solvay 1927,Debye,Peter,Solvay 1927
de Donder,Théophile,Solvay 1927,Dirac,Paul,Solvay 1927
de Donder,Théophile,Solvay 1927,de Broglie,Louis,Solvay 1927
de Donder,Théophile,Solvay 1927,Desailly,Marcel,France 98
de Donder,Théophile,Solvay 1927,Deschamps,Didier,France 98
de Donder,Théophile,Solvay 1927,Djorkaeff,Youri,France 98
de Donder,Théophile,Solvay 1927,Diomède,Bernard,France 98
de Donder,Théophile,Solvay 1927,Dugarry,Christophe,France 98
Verschaffelt,Jules-Émile,Solvay 1927,Vieira,Patrick,France 98
Pauli,Wolfgang,Solvay 1927,Planck,Max,Solvay 1927
Pauli,Wolfgang,Solvay 1927,Petit,Emmanuel,France 98
Pauli,Wolfgang,Solvay 1927,Pirès,Robert,France 98
Heisenberg,Werner,Solvay 1927,Henry,Thierry,France 98
Brillouin,Léon,Solvay 1927,Bragg,William,Solvay 1927
Brillouin,Léon,Solvay 1927,Born,Max,Solvay 1927
Brillouin,Léon,Solvay 1927,Bohr,Niels,Solvay 1927
Brillouin,Léon,Solvay 1927,Barthez,Fabien,France 98
Brillouin,Léon,Solvay 1927,Blanc,Laurent,France 98
Brillouin,Léon,Solvay 1927,Boghossian,Alain,France 98
Debye,Peter,Solvay 1927,Dirac,Paul,Solvay 1927
Debye,Peter,Solvay 1927,de Broglie,Louis,Solvay 1927
Debye,Peter,Solvay 1927,Desailly,Marcel,France 98
Debye,Peter,Solvay 1927,Deschamps,Didier,France 98
Debye,Peter,Solvay 1927,Djorkaeff,Youri,France 98
Debye,Peter,Solvay 1927,Diomède,Bernard,France 98
Debye,Peter,Solvay 1927,Dugarry,Christophe,France 98
Knudsen,Martin,Solvay 1927,Kramers,Hendrik,Solvay 1927
Knudsen,Martin,Solvay 1927,Karembeu,Christian,France 98
Bragg,William,Solvay 1927,Born,Max,Solvay 1927
Bragg,William,Solvay 1927,Bohr,Niels,Solvay 1927
Bragg,William,Solvay 1927,Barthez,Fabien,France 98
Bragg,William,Solvay 1927,Blanc,Laurent,France 98
Bragg,William,Solvay 1927,Boghossian,Alain,France 98
Kramers,Hendrik,Solvay 1927,Karembeu,Christian,France 98
Dirac,Paul,Solvay 1927,de Broglie,Louis,Solvay 1927
Dirac,Paul,Solvay 1927,Desailly,Marcel,France 98
Dirac,Paul,Solvay 1927,Deschamps,Didier,France 98
Dirac,Paul,Solvay 1927,Djorkaeff,Youri,France 98
Dirac,Paul,Solvay 1927,Diomède,Bernard,France 98
Dirac,Paul,Solvay 1927,Dugarry,Christophe,France 98
Compton,Arthur,Solvay 1927,Curie,Marie,Solvay 1927
Compton,Arthur,Solvay 1927,Charbonnier,Lionel,France 98
Compton,Arthur,Solvay 1927,Candela,Vincent,France 98
de Broglie,Louis,Solvay 1927,Desailly,Marcel,France 98
de Broglie,Louis,Solvay 1927,Deschamps,Didier,France 98
de Broglie,Louis,Solvay 1927,Djorkaeff,Youri,France 98
de Broglie,Louis,Solvay 1927,Diomède,Bernard,France 98
de Broglie,Louis,Solvay 1927,Dugarry,Christophe,France 98
Born,Max,Solvay 1927,Bohr,Niels,Solvay 1927
Born,Max,Solvay 1927,Barthez,Fabien,France 98
Born,Max,Solvay 1927,Blanc,Laurent,France 98
Born,Max,Solvay 1927,Boghossian,Alain,France 98
Bohr,Niels,Solvay 1927,Barthez,Fabien,France 98
Bohr,Niels,Solvay 1927,Blanc,Laurent,France 98
Bohr,Niels,Solvay 1927,Boghossian,Alain,France 98
Langmuir,Irving,Solvay 1927,Lorentz,Hendrik,Solvay 1927
Langmuir,Irving,Solvay 1927,Langevin,Paul,Solvay 1927
Langmuir,Irving,Solvay 1927,Lama,Bernard,France 98
Langmuir,Irving,Solvay 1927,Lizarazu,Bixente,France 98
Langmuir,Irving,Solvay 1927,Leboeuf,Frank,France 98
Planck,Max,Solvay 1927,Petit,Emmanuel,France 98
Planck,Max,Solvay 1927,Pirès,Robert,France 98
Curie,Marie,Solvay 1927,Charbonnier,Lionel,France 98
Curie,Marie,Solvay 1927,Candela,Vincent,France 98
Lorentz,Hendrik,Solvay 1927,Langevin,Paul,Solvay 1927
Lorentz,Hendrik,Solvay 1927,Lama,Bernard,France 98
Lorentz,Hendrik,Solvay 1927,Lizarazu,Bixente,France 98
Lorentz,Hendrik,Solvay 1927,Leboeuf,Frank,France 98
Langevin,Paul,Solvay 1927,Lama,Bernard,France 98
Langevin,Paul,Solvay 1927,Lizarazu,Bixente,France 98
Langevin,Paul,Solvay 1927,Leboeuf,Frank,France 98
Guye,Charles-Eugène,Solvay 1927,Guivarc'h,Stéphane,France 98
Lama,Bernard,France 98,Lizarazu,Bixente,France 98
Lama,Bernard,France 98,Leboeuf,Frank,France 98
Barthez,Fabien,France 98,Blanc,Laurent,France 98
Barthez,Fabien,France 98,Boghossian,Alain,France 98
Charbonnier,Lionel,France 98,Candela,Vincent,France 98
Blanc,Laurent,France 98,Boghossian,Alain,France 98
Desailly,Marcel,France 98,Deschamps,Didier,France 98
Desailly,Marcel,France 98,Djorkaeff,Youri,France 98
Desailly,Marcel,France 98,Diomède,Bernard,France 98
Desailly,Marcel,France 98,Dugarry,Christophe,France 98
Lizarazu,Bixente,France 98,Leboeuf,Frank,France 98
Thuram,Lilian,France 98,Trezeguet,David,France 98
Deschamps,Didier,France 98,Djorkaeff,Youri,France 98
Deschamps,Didier,France 98,Diomède,Bernard,France 98
Deschamps,Didier,France 98,Dugarry,Christophe,France 98
Petit,Emmanuel,France 98,Pirès,Robert,France 98
